0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.35578944e-08
6.78224224e-07,2.63757903,6.78224224e-07,-0.0855283933
6.78437095e-07,2.73305682,6.78437095e-07,-0.135478434
6.78634749e-07,2.72538618,6.78634749e-07,-0.0580797103
6.78789165e-07,2.73554811,6.78789165e-07,-0.0677902041
6.78949241e-07,2.725545,6.78949241e-07,-0.0111945323
6.792526e-07,2.73262053,6.792526e-07,-0.0228969587
6.79641517e-07,2.72361475,6.79641517e-07,0.0150094199
6.80111841e-07,2.73105474,6.80111841e-07,-0.0152172167
6.80640033e-07,2.7225422,6.80640033e-07,0.0148697565
6.81696418e-07,2.72915538,6.81696418e-07,-0.0147296169
6.83695581e-07,2.71907482,6.83695581e-07,0.0146199743
6.87693908e-07,2.72225258,6.87693908e-07,-0.0146007237
6.95690561e-07,2.70535557,6.95690561e-07,0.0145558319
7.11683867e-07,2.69489061,7.11683867e-07,-0.0145685481
7.4367048e-07,2.65111301,7.4367048e-07,0.014540129
8.0367048e-07,2.59246206,8.0367048e-07,-0.0145598837
8.6367048e-07,2.52004655,8.6367048e-07,0.0145351593
9.2367048e-07,2.46453533,9.2367048e-07,-0.0145536409
9.8367048e-07,2.39529226,9.8367048e-07,0.0145301993
9.9e-07,2.39647737,9.9e-07,-0.0145242425
9.9025e-07,2.39245299,9.9025e-07,-0.000180565488
9.9075e-07,2.39190239,9.9075e-07,0.00014929109
9.91292542e-07,2.3914015,9.91292542e-07,-0.000183493057
9.91335997e-07,2.39133154,9.91335997e-07,-3.11956197e-05
9.91422907e-07,2.39124474,9.91422907e-07,-9.62338368e-06
9.91539668e-07,2.3911257,9.91539668e-07,-0.00043121145
9.91681448e-07,2.39098345,9.91681448e-07,-0.00119325659
9.9183731e-07,2.39092246,9.9183731e-07,-0.00447478182
9.92007968e-07,2.38930157,9.92007968e-07,-0.0164664539
9.92151324e-07,2.38278591,9.92151324e-07,-0.0286916901
9.92296415e-07,2.36971061,9.92296415e-07,-0.00927466309
9.92414476e-07,2.34817492,9.92414476e-07,-0.00825470063
9.925e-07,2.2807226,9.925e-07,-0.0177809109
9.92511645e-07,2.26004295,9.92511645e-07,-0.0227914371
9.92534936e-07,2.20520816,9.92534936e-07,-0.0343387401
9.92581517e-07,2.07949433,9.92581517e-07,-0.0288709605
9.9267468e-07,1.92091042,9.9267468e-07,-0.0102032494
9.92802402e-07,1.80380665,9.92802402e-07,-0.00851292049
9.92933771e-07,1.74791114,9.92933771e-07,0.000930130793
9.93102625e-07,1.73111416,9.93102625e-07,-0.00220667874
9.9338615e-07,1.72081873,9.9338615e-07,0.00150537865
9.93913521e-07,1.72185822,9.93913521e-07,-0.00152713641
9.94525888e-07,1.71959075,9.94525888e-07,0.0014611732
9.95750621e-07,1.72051632,9.95750621e-07,-0.00144766824
9.98200089e-07,1.71684843,9.98200089e-07,0.00141969978
1.00309902e-06,1.71502042,1.00309902e-06,-0.00142696856
1.01e-06,1.70805062,1.01e-06,0.00140800142
1.0101e-06,1.70882611,1.0101e-06,3.8049237e-05
1.0103e-06,1.70879163,1.0103e-06,-8.33767509e-05
1.01056538e-06,1.70847889,1.01056538e-06,-1.68504228e-05
1.01085386e-06,1.70837231,1.01085386e-06,-0.00137201662
1.011e-06,1.70829286,1.011e-06,-0.003421603
1.01101615e-06,1.70833117,1.01101615e-06,-0.00361192682
1.01104845e-06,1.70836755,1.01104845e-06,-0.00413028099
1.01111305e-06,1.70795173,1.01111305e-06,-0.0109130832
1.01123309e-06,1.7036749,1.01123309e-06,-0.0630667707
1.01133891e-06,1.69507108,1.01133891e-06,-0.112721873
1.01143519e-06,1.89136801,1.01143519e-06,-0.415167042
1.0115294e-06,3.11070417,1.0115294e-06,-0.862440888
1.01159876e-06,4.26715437,1.01159876e-06,-0.895153773
1.01167859e-06,4.60765543,1.01167859e-06,-0.780915102
1.01175687e-06,4.68785504,1.01175687e-06,-0.6867688
1.01183471e-06,4.77182677,1.01183471e-06,-0.588194691
1.01196153e-06,4.82647338,1.01196153e-06,-0.428651207
1.01211697e-06,4.87242095,1.01211697e-06,-0.306522259
1.01241645e-06,4.88711386,1.01241645e-06,-0.221372817
1.01270509e-06,4.893716,1.01270509e-06,-0.224270878
1.01307782e-06,4.88791899,1.01307782e-06,-0.220271434
1.0135564e-06,4.89342334,1.0135564e-06,-0.224391806
1.01451356e-06,4.8881027,1.01451356e-06,-0.220196491
1.01642788e-06,4.89333439,1.01642788e-06,-0.224427227
1.02013113e-06,4.88814707,1.02013113e-06,-0.220179034
1.02753763e-06,4.8933119,1.02753763e-06,-0.224436035
1.04235063e-06,4.88815829,1.04235063e-06,-0.220174655
1.07197662e-06,4.89330631,1.07197662e-06,-0.224438218
1.1312286e-06,4.88816108,1.1312286e-06,-0.220173567
1.166e-06,4.89330379,1.166e-06,-0.224439196
1.1661e-06,4.89086609,1.1661e-06,-0.222208936
1.1663e-06,4.89061535,1.1663e-06,-0.222265265
1.16651108e-06,4.89082064,1.16651108e-06,-0.223066375
1.16673856e-06,4.89056702,1.16673856e-06,-0.227737383
1.16691911e-06,4.89080307,1.16691911e-06,-0.232091183
1.167e-06,4.89063718,1.167e-06,-0.233901331
1.167019e-06,4.89070736,1.167019e-06,-0.234045885
1.16705699e-06,4.89078041,1.16705699e-06,-0.23416999
1.16713297e-06,4.89079906,1.16713297e-06,-0.234259893
1.16728495e-06,4.8907587,1.16728495e-06,-0.234095704
1.16746571e-06,4.89077725,1.16746571e-06,-0.233684516
1.16770375e-06,4.8928135,1.16770375e-06,-0.237880775
1.1679528e-06,4.90120197,1.1679528e-06,-0.253316451
1.16822642e-06,4.92598605,1.16822642e-06,-0.232954366
1.16841674e-06,4.9262899,1.16841674e-06,-0.224798238
1.16857854e-06,4.91003952,1.16857854e-06,-0.224313706
1.16869261e-06,4.89402347,1.16869261e-06,-0.222610847
1.16882214e-06,4.85696393,1.16882214e-06,-0.220811778
1.16903202e-06,4.42603708,1.16903202e-06,-0.1949536
1.1694065e-06,2.45295351,1.1694065e-06,-0.093861571
1.16967991e-06,1.8408483,1.16967991e-06,-0.0793325751
1.17000518e-06,1.84921709,1.17000518e-06,-0.0855451994
1.17036225e-06,1.83516217,1.17036225e-06,-0.0824024806
1.17077471e-06,1.84700166,1.17077471e-06,-0.0846674725
1.1714152e-06,1.83460547,1.1714152e-06,-0.0827280449
1.17269619e-06,1.84522926,1.17269619e-06,-0.0844690801
1.17525817e-06,1.83179857,1.17525817e-06,-0.0826456098
1.176e-06,1.84246356,1.176e-06,-0.084290142
1.17606225e-06,1.83680991,1.17606225e-06,-0.0834808761
1.17618676e-06,1.83579664,1.17618676e-06,-0.0833329064
1.17643578e-06,1.8364144,1.17643578e-06,-0.0835417678
1.17673255e-06,1.83539882,1.17673255e-06,-0.0886450161
1.17692737e-06,1.83597018,1.17692737e-06,-0.0933535371
1.177e-06,1.83534409,1.177e-06,-0.0949722004
1.17701801e-06,1.83552065,1.17701801e-06,-0.0951041504
1.17705403e-06,1.83561396,1.17705403e-06,-0.0952507091
1.17712608e-06,1.83552545,1.17712608e-06,-0.0953842857
1.17726712e-06,1.83541334,1.17726712e-06,-0.0952888833
1.17744902e-06,1.83524922,1.17744902e-06,-0.0948251508
1.17768749e-06,1.83625712,1.17768749e-06,-0.0992892856
1.17793215e-06,1.841423,1.17793215e-06,-0.118379978
1.17822313e-06,1.86708099,1.17822313e-06,-0.0933168656
1.17844824e-06,2.0674967,1.17844824e-06,-0.0947569863
1.17865751e-06,2.48401836,1.17865751e-06,-0.114249386
1.17882393e-06,2.51336084,1.17882393e-06,-0.113734002
1.1789989e-06,2.49181535,1.1789989e-06,-0.113662656
1.17926553e-06,2.5046552,1.17926553e-06,-0.113409384
1.1795774e-06,2.48938033,1.1795774e-06,-0.113485712
1.18009217e-06,2.5018457,1.18009217e-06,-0.113372517
1.1806281e-06,2.48849343,1.1806281e-06,-0.113439443
1.18169994e-06,2.49991724,1.18169994e-06,-0.113298847
1.18348068e-06,2.4857314,1.18348068e-06,-0.113306615
1.18704216e-06,2.49435354,1.18704216e-06,-0.113049956
1.19363227e-06,2.47542917,1.19363227e-06,-0.112836342
1.20590491e-06,2.47507582,1.20590491e-06,-0.112174819
1.22951907e-06,2.43919265,1.22951907e-06,-0.111188731
1.27327697e-06,2.40745414,1.27327697e-06,-0.109101559
1.33327697e-06,2.33719916,1.33327697e-06,-0.106552704
1.39327697e-06,2.29140309,1.39327697e-06,-0.103826935
1.45327697e-06,2.22432533,1.45327697e-06,-0.101422161
1.493e-06,2.19919884,1.493e-06,-0.0996362471
1.49325e-06,2.19348082,1.49325e-06,-0.099700393
1.49375e-06,2.19287498,1.49375e-06,-0.0996751469
1.49429377e-06,2.19253314,1.49429377e-06,-0.0996721134
1.4943376e-06,2.19242355,1.4943376e-06,-0.0996675587
1.49442528e-06,2.1923333,1.49442528e-06,-0.0996586415
1.49454077e-06,2.19223044,1.49454077e-06,-0.100092363
1.49468105e-06,2.19210646,1.49468105e-06,-0.100816961
1.49483599e-06,2.19242982,1.49483599e-06,-0.102775506
1.4950062e-06,2.18544822,1.4950062e-06,-0.133763407
1.49514956e-06,2.15322499,1.49514956e-06,-0.22348376
1.4952952e-06,2.00650195,1.4952952e-06,-0.297226774
1.49541139e-06,1.52579191,1.49541139e-06,-0.273590714
1.4955e-06,1.47296346,1.4955e-06,-0.202926653
1.4955114e-06,1.4873962,1.4955114e-06,-0.192553787
1.4955342e-06,1.50040281,1.4955342e-06,-0.172318596
1.4955798e-06,1.50724336,1.4955798e-06,-0.137094496
1.49567099e-06,1.52255811,1.49567099e-06,-0.0940334407
1.49584801e-06,1.52749908,1.49584801e-06,-0.069660025
1.49601063e-06,1.52910969,1.49601063e-06,-0.0697035881
1.49627643e-06,1.52734188,1.49627643e-06,-0.0693911159
1.49665807e-06,1.52857591,1.49665807e-06,-0.0694822601
1.49742135e-06,1.52668864,1.49742135e-06,-0.069363752
1.49894792e-06,1.52709947,1.49894792e-06,-0.0694140213
1.5e-06,1.52509768,1.5e-06,-0.0692924244
1.50015515e-06,1.525628,1.50015515e-06,-0.0693400045
1.50046544e-06,1.52548634,1.50046544e-06,-0.0693241576
1.50108603e-06,1.52504667,1.50108603e-06,-0.0693155817
1.50124118e-06,1.52497149,1.50124118e-06,-0.0693200772
1.50155147e-06,1.52477536,1.50155147e-06,-0.0696355679
1.50180125e-06,1.5247633,1.50180125e-06,-0.0713628972
1.50207673e-06,1.51390226,1.50207673e-06,-0.129448203
1.50227629e-06,1.78418061,1.50227629e-06,-0.26545686
1.50241546e-06,4.08133049,1.50241546e-06,-0.45465695
1.5025e-06,4.78117311,1.5025e-06,-0.473107256
1.50251313e-06,4.75550043,1.50251313e-06,-0.466926152
1.50253939e-06,4.74076854,1.50253939e-06,-0.457252579
1.50259191e-06,4.76911919,1.50259191e-06,-0.445737354
1.50269695e-06,4.80170321,1.50269695e-06,-0.411596013
1.50283866e-06,4.84376899,1.50283866e-06,-0.334030923
1.50307297e-06,4.88106315,1.50307297e-06,-0.246760406
1.50338421e-06,4.89109211,1.50338421e-06,-0.22208744
1.50371129e-06,4.89056232,1.50371129e-06,-0.222202666
1.50408406e-06,4.89088568,1.50408406e-06,-0.222419537
1.50482961e-06,4.89058791,1.50482961e-06,-0.222193338
1.5063207e-06,4.89087759,1.5063207e-06,-0.222418319
1.50930289e-06,4.89059165,1.50930289e-06,-0.222194211
1.51526727e-06,4.89087577,1.51526727e-06,-0.222417842
1.52719602e-06,4.89059255,1.52719602e-06,-0.222194455
1.55105353e-06,4.89087556,1.55105353e-06,-0.22241773
1.59876854e-06,4.89059302,1.59876854e-06,-0.222194532
1.657e-06,4.89087532,1.657e-06,-0.222417686
1.65725e-06,4.89073745,1.65725e-06,-0.222285926
1.65775e-06,4.89073079,1.65775e-06,-0.222270558
1.65821999e-06,4.89073603,1.65821999e-06,-0.222907481
1.65872529e-06,4.89072859,1.65872529e-06,-0.226932483
1.65923555e-06,4.89074405,1.65923555e-06,-0.231792716
1.6595e-06,4.89072086,1.6595e-06,-0.233516691
1.6595488e-06,4.89073218,1.6595488e-06,-0.233481897
1.6596464e-06,4.89078313,1.6596464e-06,-0.233297395
1.65984159e-06,4.89135631,1.65984159e-06,-0.236739346
1.66003089e-06,4.89283388,1.66003089e-06,-0.248166778
1.66033315e-06,4.8987464,1.66033315e-06,-0.230559013
1.66053575e-06,4.89575057,1.66053575e-06,-0.221838735
1.66073457e-06,4.880831,1.66073457e-06,-0.219467001
1.66086695e-06,4.86288438,1.66086695e-06,-0.214677511
1.66099894e-06,4.82591875,1.66099894e-06,-0.206531216
1.66126292e-06,4.33293822,1.66126292e-06,-0.0766693643
1.66154598e-06,3.59954892,1.66154598e-06,-0.0224668355
1.6618496e-06,2.97536594,1.6618496e-06,-0.0287618273
1.66218698e-06,2.34486372,1.66218698e-06,-0.0110273066
1.66261795e-06,2.04767606,1.66261795e-06,-0.00289220744
1.66311914e-06,2.02818542,1.66311914e-06,0.00220003323
1.66366779e-06,2.03468853,1.66366779e-06,-0.00216401286
1.66433579e-06,2.02980432,1.66433579e-06,0.00211102687
1.66560964e-06,2.03222363,1.66560964e-06,-0.00210755897
1.66803069e-06,2.02678649,1.66803069e-06,0.00207889254
1.6728728e-06,2.02580486,1.6728728e-06,-0.00209001952
1.676e-06,2.01990793,1.676e-06,0.00206365241
1.6761e-06,2.02119932,1.6761e-06,0.000112088067
1.6763e-06,2.02129195,1.6763e-06,4.23095997e-06
1.67651107e-06,2.02089067,1.67651107e-06,-0.000689064284
1.67673855e-06,2.02064223,1.67673855e-06,-0.00526170024
1.67691909e-06,2.02024022,1.67691909e-06,-0.0096984129
1.677e-06,2.02021931,1.677e-06,-0.011484285
1.677019e-06,2.02017794,1.677019e-06,-0.0116841768
1.67705699e-06,2.02015573,1.67705699e-06,-0.0119332145
1.67713297e-06,2.02017547,1.67713297e-06,-0.0120929182
1.67728493e-06,2.02009502,1.67728493e-06,-0.0118244897
1.67746573e-06,2.02001203,1.67746573e-06,-0.0114862741
1.67770384e-06,2.02606991,1.67770384e-06,-0.0211478636
1.67795306e-06,2.11889177,1.67795306e-06,-0.0545839673
1.67822415e-06,2.5953746,1.67822415e-06,-0.0856974848
1.67843699e-06,2.69072252,1.67843699e-06,-0.135399114
1.67863461e-06,2.68320325,1.67863461e-06,-0.0582191203
1.678789e-06,2.69324905,1.678789e-06,-0.0677477513
1.67894904e-06,2.68332563,1.67894904e-06,-0.0112993878
1.67925253e-06,2.69032788,1.67925253e-06,-0.0228306609
1.67964166e-06,2.68138783,1.67964166e-06,0.0149453951
1.68011173e-06,2.68877891,1.68011173e-06,-0.0151538994
1.68064001e-06,2.68032892,1.68064001e-06,0.0148090927
1.68169658e-06,2.68690937,1.68169658e-06,-0.0146696812
1.68369903e-06,2.67690965,1.68369903e-06,0.0145612103
1.68770393e-06,2.68010046,1.68770393e-06,-0.0145418914
1.69571372e-06,2.66337634,1.69571372e-06,0.014497615
1.71173332e-06,2.6531094,1.71173332e-06,-0.0145099916
1.74377252e-06,2.60987016,1.74377252e-06,0.0144820417
1.80377252e-06,2.55217686,1.80377252e-06,-0.0145014025
1.86377252e-06,2.48079317,1.86377252e-06,0.0144770947
1.92377252e-06,2.42618575,1.92377252e-06,-0.0144952101
1.98377252e-06,2.35792546,1.98377252e-06,0.0144721571
1.99e-06,2.35925583,1.99e-06,-0.0144655731
