0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.35578944e-08
4.95007368e-07,2.00178553,4.95007368e-07,-0.16826157
4.95151035e-07,1.96981614,4.95151035e-07,-0.257706013
4.95296449e-07,1.85489133,4.95296449e-07,-0.330218948
4.95412204e-07,1.33748528,4.95412204e-07,-0.294831585
4.955e-07,1.29121207,4.955e-07,-0.222809808
4.95511348e-07,1.30712351,4.95511348e-07,-0.213053239
4.95534045e-07,1.31990543,4.95534045e-07,-0.193110844
4.95579438e-07,1.32576346,4.95579438e-07,-0.157781109
4.95670225e-07,1.3411371,4.95670225e-07,-0.11466336
4.95824301e-07,1.34473935,4.95824301e-07,-0.0916091448
4.95985678e-07,1.34736221,4.95985678e-07,-0.0901033086
4.96224264e-07,1.3450144,4.96224264e-07,-0.089633084
4.96602077e-07,1.34672722,4.96602077e-07,-0.0897867324
4.97357704e-07,1.34417241,4.97357704e-07,-0.0895674239
4.98868957e-07,1.3448602,4.98868957e-07,-0.0896623181
5e-07,1.34207909,5e-07,-0.0894284907
5.00164526e-07,1.34283372,5.00164526e-07,-0.0895108727
5.00493577e-07,1.34262404,5.00493577e-07,-0.0894881853
5.01151679e-07,1.34204199,5.01151679e-07,-0.0894627434
5.01244999e-07,1.34199042,5.01244999e-07,-0.0894650215
5.01431639e-07,1.34184251,5.01431639e-07,-0.0894501617
5.01618054e-07,1.34168068,5.01618054e-07,-0.0902369586
5.01786329e-07,1.34176047,5.01786329e-07,-0.0918433053
5.01972291e-07,1.33932196,5.01972291e-07,-0.108450718
5.02148148e-07,1.31381324,5.02148148e-07,-0.208127758
5.02298725e-07,2.02316359,5.02298725e-07,-0.353520184
5.02401014e-07,3.99052004,5.02401014e-07,-0.531551332
5.02485166e-07,4.69374229,5.02485166e-07,-0.568055012
5.025e-07,4.66685663,5.025e-07,-0.55912715
5.02509113e-07,4.66937825,5.02509113e-07,-0.556764083
